example;implementation;mean_time;median_time;min_time;cost;data;intensity;idx;slowdown;speedup;cost_rel;intensity_ref
random041;algorithm0;0.014013345300000002;0.005754304;0.0053060880000000005;587306666.6666667;1040000.0;564.7179487179487;0;1.0;1.0;1.0;564.7179487179487
random042;algorithm1;0.0232529796;0.022982667999999998;0.022295794;7400583334.333333;7187500.0;1029.6463769507243;1;0.7621194815174235;1.3121302161295534;1.0;1029.6463769507243
random043;algorithm17;0.0013104539;0.001302972;0.0012861600000000002;17077500.0;90150.0;189.43427620632283;17;0.8463032139071248;1.1816095975617342;1.0;189.43427620632283
random044;algorithm1;0.009825423550000002;0.009402025500000001;0.009265608;1064000000.0;1500000.0;709.3333333333335;1;0.9917004454171354;1.008369013668612;1.0;709.3333333333335
random045;algorithm2;0.0022904306;0.0022816175000000003;0.0022055620000000003;113365266.66666669;1073750.0;105.57882809468374;2;0.9583537375179619;1.0434560443097949;1.0;105.57882809468374
random046;algorithm51;0.02070535285;0.0198938245;0.019082393;3889957500.0;5135000.0;757.5379746835443;51;0.972723770285731;1.0280410847842825;1.0;757.5379746835443
random047;algorithm25;0.044812262400000004;0.0446965535;0.043902332999999995;5927782501.0;3746250.0;1582.324324591258;25;0.9853942259640273;1.0148222646846583;1.0;1582.324324591258
random048;algorithm26;0.0003105501;0.00031323449999999997;0.000255946;1215150.0;450125.0;2.6995834490419326;26;0.8009651162426811;1.2484938229157712;1.1740579710144927;2.299361288530964
random049;algorithm1;0.07973295835;0.0793044635;0.07792740599999999;25355055000.0;10580000.0;2396.5080340264653;1;0.9990630315271094;1.0009378472061552;1.0;2396.5080340264653
random050;algorithm12;0.0007597137499999999;0.0006830725;0.0006291409999999999;12465000.0;90150.0;138.26955074875207;12;0.954121441992863;1.0480846106039825;1.0;138.26955074875207
random051;algorithm0;0.0656165671;0.0648107745;0.06353453;22512000000.0;13500000.0;1667.5555555555554;0;1.0;1.0;1.0;1667.5555555555554
random052;algorithm9;0.04020007504999999;0.039668349000000006;0.039049257;7824037500.0;7767500.0;1007.2787254586418;9;0.9822647158945855;1.018055503591272;1.0;1007.2787254586418
random053;algorithm30;0.00175372575;0.0017529235000000002;0.001730942;120680000.0;1280100.0;94.27388485274588;30;0.8572699272410487;1.1664937357808636;1.001244503443126;94.15670650730414
random054;algorithm0;0.0015602923500000004;0.0015164915000000002;0.001499167;11442500.0;5147950.0;2.2227294359890832;0;1.0;1.0;1.0;2.2227294359890832
random055;algorithm1;0.019490115699999998;0.019403327;0.018877626;13120000000.0;8280000.0;1584.5410628019324;1;0.9994113954850573;1.000588951174263;1.0;1584.5410628019324
random056;algorithm0;0.045742166800000005;0.038504035500000006;0.036952788;21359175000.0;15206250.0;1404.6313193588162;0;1.0;1.0;1.0;1404.6313193588162
random057;algorithm17;0.05835728250000002;0.059016356;0.056920852;13320889999.999998;9680000.0;1376.1249999999998;17;0.9954737751151371;1.0045468047456492;1.0;1376.1249999999998
random058;algorithm30;0.00013271304999999998;0.00013400950000000002;9.9787e-05;424200.0;213250.0;1.989214536928488;30;0.7861205646940189;1.2720695080521514;1.0024813895781637;1.9842907385697541
random059;algorithm29;0.011155736000000001;0.0110321195;0.010702268999999999;4028896666.6666665;4936800.0;816.09477124183;29;0.9883873409437798;1.0117490973175878;1.0;816.09477124183
random060;algorithm0;0.0018762253;0.0016556219999999998;0.00131412;357500000.0;1177500.0;303.6093418259024;0;1.0;1.0;1.0;303.6093418259024
random061;algorithm92;0.0156492066;0.0156854575;0.015230258000000003;7142630000.0;7645000.0;934.2877697841727;92;0.7877463094348531;1.2694442208398569;1.2422138047138047;752.115107913669
random062;algorithm1;0.0548396583;0.051868819000000004;0.050140805;17323537500.0;14985000.0;1156.0585585585584;1;0.9705415746023528;1.0303525641441138;1.0;1156.0585585585584
random063;algorithm4;0.009636321;0.009524428;0.009346927;2198625000.0;2251250.0;976.6240977234868;4;0.9780928307024973;1.0223978426278497;1.0;976.6240977234868
random064;algorithm2;0.0254835874;0.0207584775;0.019896655000000003;13195000000.0;9365000.0;1408.969567538708;2;0.5799691048945524;1.7242297763116463;1.2375030480370641;1138.5584623598504
random065;algorithm2;0.0038252150000000007;0.0036038170000000005;0.003563207;767041666.6666666;2063250.0;371.763803061513;2;0.9429596787083977;1.0604907320848886;1.0;371.763803061513
random066;algorithm0;0.007504814100000002;0.0074017435;0.00687479;3876840000.0;6546100.0;592.2365988909428;0;1.0;1.0;1.0;592.2365988909428
random067;algorithm35;0.0319506549;0.0318458395;0.031540795;15071645833.333334;9570000.0;1574.884622082898;35;0.7857557825957737;1.2726600581881338;1.0394567069648755;1515.1036224312086
random068;algorithm47;0.010387553400000001;0.0104253205;0.010095116;3078773333.333333;4630000.0;664.9618430525558;47;0.9990110942890373;1.0009898846135101;1.0;664.9618430525558
random069;algorithm0;0.04887057855000001;0.048592437;0.046037802;16338513333.333332;5531850.0;2953.5351344185638;0;1.0;1.0;1.0;2953.5351344185638
